Task_Start_Time,CPU_Utilization (%),Memory_Consumption (MB),Task_Execution_Time (ms),System_Throughput (tasks/sec),Number_of_Active_Users,Network_Bandwidth_Utilization (Mbps),Job_Priority,Scheduler_Type,Resource_Allocation_Type
2024-01-01 00:00:00,51.02643514882281,5201.601033905682,809,20.0,1870.8997603865585,83.58507260242092,Medium,FCFS,Static
2024-01-01 00:01:00,56.22421787576552,5133.8134665065845,2896,20.0,2108.683268634355,346.6692845713489,High,Priority-Based,Static
2024-01-01 00:02:00,60.788089205548076,4847.5166328986725,2269,20.0,1921.0506009818673,491.28672534733397,Medium,FCFS,Dynamic
2024-01-01 00:03:00,50.46570350562852,4935.456494550951,2776,20.0,1902.5480046890611,401.9045271584246,High,Priority-Based,Dynamic
2024-01-01 00:04:00,58.07060372198882,4967.12238400377,1291,20.0,2105.322919672715,101.80882453969255,High,Round-Robin,Static
2024-01-01 00:05:00,57.274770365891214,4869.377045256335,2103,20.0,1947.0860628638488,488.67066626456466,High,Priority-Based,Dynamic
2024-01-01 00:06:00,54.273945404615766,5117.396661680257,942,20.0,2244.29953736928,226.7385811104906,Low,FCFS,Static
2024-01-01 00:07:00,56.137425372254185,4798.117148651088,891,20.0,2048.8387893190675,271.4483089308047,Medium,FCFS,Static
2024-01-01 00:08:00,55.83147756608229,5383.4867216803095,831,20.0,2087.1300402856746,216.31380160041272,Medium,FCFS,Dynamic
2024-01-01 00:09:00,58.87981966056902,4780.308364812186,2848,20.0,1977.4427644313116,301.26281949565913,Low,Round-Robin,Static
2024-01-01 00:10:00,61.95939080448461,4892.75760707464,1682,20.0,2050.477101360755,199.73960322745873,High,Round-Robin,Static
2024-01-01 00:11:00,51.01250988378791,5942.383289366354,1247,19.485886339706514,2161.3609111941473,302.62157390548316,Low,Round-Robin,Dynamic
2024-01-01 00:12:00,61.132600933671135,4684.657306341904,2842,20.0,2149.1739026666382,326.49403829331067,High,Priority-Based,Dynamic
2024-01-01 00:13:00,48.07553088404592,5445.706977843526,870,20.0,2213.456748999244,400.62808007963804,Low,Round-Robin,Dynamic
2024-01-01 00:14:00,56.97936581871693,5541.590779230451,2067,20.0,2075.882473252209,190.20524644196158,Medium,Priority-Based,Static
2024-01-01 00:15:00,64.42569153304457,4912.165742143777,2941,20.0,2309.568405834474,403.12046634344034,High,Priority-Based,Dynamic
2024-01-01 00:16:00,59.83327770974154,5266.688353726419,2951,20.0,2199.0404329825765,278.2444973340037,Medium,FCFS,Static
2024-01-01 00:17:00,56.22389997173943,5313.19016689285,2178,20.0,2161.26229922387,207.9050468032145,Low,Round-Robin,Static
2024-01-01 00:18:00,59.084245067315706,4682.541898693077,2895,20.0,2181.5999102229976,110.95609774476578,Low,Round-Robin,Static
2024-01-01 00:19:00,60.634836298184155,5119.743880277308,1999,20.0,2215.794397763135,196.16232923645165,Medium,FCFS,Dynamic
2024-01-01 00:20:00,49.68202542517364,5288.090809279773,2018,20.0,2331.685437801551,444.5070355806933,Medium,Priority-Based,Static
2024-01-01 00:21:00,73.41723259573597,5194.795655099692,2179,20.0,2261.6981131762227,315.12267148446205,Medium,Priority-Based,Static
2024-01-01 00:22:00,56.643995103062785,5447.270758667773,2874,20.0,2165.1319673703156,301.5785471806917,Medium,Round-Robin,Dynamic
2024-01-01 00:23:00,63.976412221545054,5518.535507156127,730,20.0,2054.053976131863,210.08203463869452,High,Priority-Based,Dynamic
2024-01-01 00:24:00,65.24029003840666,4947.333370328384,1006,20.0,2172.419131506572,349.386038036201,High,Round-Robin,Static
2024-01-01 00:25:00,60.46582289831065,5084.843739961055,988,20.0,2272.480640414704,488.7370001169959,Medium,Priority-Based,Static
2024-01-01 00:26:00,61.572614555457974,5515.1715702297615,766,20.0,2461.859789050665,116.14252313906077,Medium,FCFS,Static
2024-01-01 00:27:00,52.57984734464419,5216.594210512531,1081,20.0,2315.1032415300165,387.68996442399737,Low,FCFS,Dynamic
2024-01-01 00:28:00,69.24331112511462,5416.295580599697,2464,20.0,2330.6843555819905,398.7802184799684,Medium,Round-Robin,Dynamic
2024-01-01 00:29:00,75.78487074421419,5538.95939807609,807,20.0,2321.172332500009,441.95633283124613,Medium,Priority-Based,Dynamic
2024-01-01 00:30:00,67.2701093551531,5217.449268795492,839,20.0,2533.5090401968014,369.952834985625,Low,Round-Robin,Dynamic
2024-01-01 00:31:00,65.40851012361213,4981.753024387686,941,20.0,2365.99497200804,182.49969788491498,Medium,FCFS,Static
2024-01-01 00:32:00,63.69714405260004,5793.751128284321,2901,20.0,2187.384739979944,356.25160922309595,Medium,FCFS,Dynamic
2024-01-01 00:33:00,67.698842874821,5512.173170263318,1983,20.0,2279.4907956573916,454.3249337440901,Low,Priority-Based,Dynamic
2024-01-01 00:34:00,63.27993967299061,5333.990146761804,2388,20.0,2406.3343230499268,94.35625495283452,High,Priority-Based,Dynamic
2024-01-01 00:35:00,60.60887714149677,5328.04447722655,2835,20.0,2314.8637694090075,478.84541458630446,High,FCFS,Dynamic
2024-01-01 00:36:00,77.50331539164202,5826.959572275905,688,20.0,2503.371407218662,182.42257845443416,Low,Round-Robin,Dynamic
2024-01-01 00:37:00,66.67854097145548,5500.229793574823,916,20.0,2583.3388863055343,225.45836134369344,Low,Round-Robin,Dynamic
2024-01-01 00:38:00,75.66010671055318,5709.034368690566,1146,20.0,2602.273152975587,58.093307018250385,Medium,Priority-Based,Dynamic
2024-01-01 00:39:00,71.80846013302528,5893.9279454845555,2604,20.0,2412.7291353847822,308.8024323374652,Medium,FCFS,Dynamic
2024-01-01 00:40:00,72.31715715536895,5485.135647375433,1745,20.0,2471.582799411074,355.45009529475146,Low,Round-Robin,Dynamic
