Task_Start_Time,CPU_Utilization (%),Memory_Consumption (MB),Task_Execution_Time (ms),System_Throughput (tasks/sec),Number_of_Active_Users,Network_Bandwidth_Utilization (Mbps),Job_Priority,Scheduler_Type,Resource_Allocation_Type
01-01-2024 00:00,39.96,3622,2734,9.03,3000,112.97,Low,FCFS,Static
01-01-2024 00:01,86.06,5690,2868,8.03,4590,329.2,Low,Priority-Based,Dynamic
01-01-2024 00:02,68.56,5075,1311,5.69,3780,542.82,Low,Priority-Based,Static
01-01-2024 00:03,57.89,7686,875,4.51,4474,973.94,Medium,Priority-Based,Dynamic
01-01-2024 00:04,22.48,2297,1260,6.38,1981,405.38,Low,FCFS,Static
01-01-2024 00:05,22.48,2631,2483,4.72,3471,227.84,Low,ASB-Dynamic-CapsNet,Static
01-01-2024 00:06,14.65,7822,2754,2.84,2040,175.13,High,FCFS,Static
01-01-2024 00:07,79.29,7208,3640,6.95,4915,181.31,Low,Priority-Based,Dynamic
01-01-2024 00:08,58.09,7262,4797,8.8,3906,200.67,Low,Priority-Based,Static
01-01-2024 00:09,66.65,7000,4735,4.04,1532,764.64,Medium,Priority-Based,Dynamic
01-01-2024 00:10,11.65,1315,1195,8.49,2595,70.42,Low,Priority-Based,Dynamic
01-01-2024 00:11,87.59,3194,123,4.6,4270,997.43,Medium,Round Robin,Static
01-01-2024 00:12,76.6,942,4819,4.31,4349,527.46,High,Priority-Based,Static
01-01-2024 00:13,26.99,3640,3656,0.77,2865,548.83,High,FCFS,Static
01-01-2024 00:14,24.55,7166,1179,7.11,692,363.99,Medium,Round Robin,Static
01-01-2024 00:15,24.67,642,4418,8.17,4735,693.35,Low,ASB-Dynamic-CapsNet,Dynamic
01-01-2024 00:16,34.34,4787,278,6.8,3968,476.74,Medium,FCFS,Dynamic
01-01-2024 00:17,51.98,1910,2947,1.94,1636,335.77,Low,FCFS,Dynamic
01-01-2024 00:18,44.56,4973,2060,1.48,2459,272.49,Low,ASB-Dynamic-CapsNet,Static
01-01-2024 00:19,33.3,7224,1573,5.94,3899,926.39,Low,FCFS,Static
01-01-2024 00:20,58.95,1034,4988,4.31,104,298.08,Medium,Round Robin,Static
01-01-2024 00:21,21.16,2216,1312,4.58,891,442.03,High,ASB-Dynamic-CapsNet,Static
01-01-2024 00:22,33.37,3864,909,9.69,4637,356.84,Medium,Round Robin,Dynamic
01-01-2024 00:23,39.31,1532,519,7.38,1034,95.32,Low,Priority-Based,Dynamic
01-01-2024 00:24,46.49,3842,3759,4.41,2670,194.08,Medium,ASB-Dynamic-CapsNet,Dynamic
01-01-2024 00:25,72.81,1910,3916,0.68,2956,197.61,High,Round Robin,Static
01-01-2024 00:26,25.97,6736,1378,0.82,2044,696.71,Medium,Priority-Based,Static
01-01-2024 00:27,51.14,6585,2623,7.01,1982,412.52,High,Round Robin,Static
01-01-2024 00:28,57.39,7172,1540,8.46,2322,784.15,High,Round Robin,Static
01-01-2024 00:29,13.72,5773,1440,7.22,152,711.86,Low,FCFS,Static
01-01-2024 00:30,58.6,5000,2321,4.36,1019,200.13,High,Priority-Based,Dynamic
01-01-2024 00:31,23.64,7483,2492,0.8,1121,567.29,Medium,FCFS,Static
01-01-2024 00:32,15.2,1672,1461,9.69,786,745.48,Medium,Priority-Based,Dynamic
01-01-2024 00:33,85.91,1388,691,9.87,1415,636.71,Low,Priority-Based,Static
01-01-2024 00:34,87.25,3838,626,5.72,3680,604.02,Medium,FCFS,Dynamic
01-01-2024 00:35,74.67,5017,2603,1.17,277,742.21,Low,FCFS,Static
01-01-2024 00:36,34.37,2141,1392,5.64,3620,66.21,Medium,FCFS,Static
01-01-2024 00:37,17.81,971,1754,8.98,494,734.11,Medium,Priority-Based,Dynamic
01-01-2024 00:38,64.74,3440,287,6.96,1669,279.93,High,Priority-Based,Static
01-01-2024 00:39,45.21,1046,2858,7.34,4743,576.15,High,Priority-Based,Static
01-01-2024 00:40,19.76,5226,628,1.31,2254,249.88,High,Priority-Based,Static
01-01-2024 00:41,49.61,4097,533,1.51,2753,840.43,Medium,Priority-Based,Dynamic
01-01-2024 00:42,12.75,5633,3612,1.71,3100,485.75,Low,Priority-Based,Static
01-01-2024 00:43,82.75,3325,1904,9.09,3552,646.51,Low,Round Robin,Static
01-01-2024 00:44,30.7,4223,402,5.5,3676,796.14,Low,FCFS,Static
01-01-2024 00:45,63,6425,4282,8.02,1231,896.36,High,Priority-Based,Static
01-01-2024 00:46,34.94,863,537,1.6,3306,734.74,Medium,Round Robin,Static
01-01-2024 00:47,51.61,2666,2688,9.31,847,157.28,High,ASB-Dynamic-CapsNet,Dynamic
01-01-2024 00:48,53.74,3809,932,8.3,884,855.99,Medium,Round Robin,Dynamic
01-01-2024 00:49,24.79,1045,896,2.64,3049,622.39,Medium,FCFS,Dynamic
01-01-2024 00:50,87.57,3740,659,8.8,2082,613.36,Medium,ASB-Dynamic-CapsNet,Dynamic
01-01-2024 00:51,72.01,7165,3688,3,4502,922.13,High,Priority-Based,Static
01-01-2024 00:52,85.16,5229,861,2.45,2814,256.34,Medium,FCFS,Static
01-01-2024 00:53,81.59,2436,3674,3.01,2459,247.19,High,ASB-Dynamic-CapsNet,Dynamic
01-01-2024 00:54,57.83,6276,3885,9.14,3734,518.06,High,Round Robin,Dynamic
01-01-2024 00:55,83.75,1462,2614,9.2,3325,753.35,Medium,ASB-Dynamic-CapsNet,Dynamic
01-01-2024 00:56,17.08,3505,784,3.63,57,452.77,Medium,FCFS,Dynamic
01-01-2024 00:57,25.68,4306,4333,7.2,2569,637.55,Medium,ASB-Dynamic-CapsNet,Dynamic
01-01-2024 00:58,13.62,1382,677,6.92,2269,458,High,Round Robin,Static
01-01-2024 00:59,36.03,4340,4905,8.16,3924,614.28,Medium,ASB-Dynamic-CapsNet,Dynamic
01-01-2024 01:00,41.09,7423,327,3.32,3778,824.04,Medium,Round Robin,Static
01-01-2024 01:01,31.71,1370,2428,5.35,3379,188.67,Low,ASB-Dynamic-CapsNet,Static
01-01-2024 01:02,76.3,5111,2831,6.84,3421,698.42,Low,Round Robin,Dynamic
01-01-2024 01:03,38.54,3485,927,0.75,663,789.55,Low,Round Robin,Static
01-01-2024 01:04,32.47,6016,530,4.08,738,452.64,Medium,Round Robin,Static
01-01-2024 01:05,53.42,1365,1163,7.11,947,330,High,Priority-Based,Static
01-01-2024 01:06,21.27,6749,1809,2.9,159,23.41,Low,Round Robin,Static
01-01-2024 01:07,74.18,5704,1334,9.6,4855,799.13,High,FCFS,Dynamic
01-01-2024 01:08,15.96,4809,401,0.79,3062,334.66,Low,Round Robin,Static
01-01-2024 01:09,88.95,7788,1520,9.6,2968,363.74,Low,Priority-Based,Static
01-01-2024 01:10,71.78,3703,4728,2.56,1210,342.65,High,Priority-Based,Dynamic
01-01-2024 01:11,25.9,3397,868,0.96,4031,503.75,Low,FCFS,Dynamic
01-01-2024 01:12,10.44,2744,1504,3.28,3660,705.47,High,Round Robin,Dynamic
01-01-2024 01:13,75.24,518,543,7.97,4794,774.14,Medium,Priority-Based,Static
01-01-2024 01:14,66.55,1141,3204,7.65,2053,398.65,Medium,Priority-Based,Dynamic
01-01-2024 01:15,68.32,3583,4455,2.48,1577,666.47,High,ASB-Dynamic-CapsNet,Static
01-01-2024 01:16,71.7,5700,3405,2.37,1963,723.48,High,ASB-Dynamic-CapsNet,Dynamic
01-01-2024 01:17,15.92,829,1638,6.6,4391,303.95,Medium,FCFS,Static
01-01-2024 01:18,38.68,1365,4030,4.85,3231,105.66,High,ASB-Dynamic-CapsNet,Dynamic
01-01-2024 01:19,19.27,1273,1431,8.03,4943,895.72,Medium,Round Robin,Dynamic
01-01-2024 01:20,79.05,4987,169,0.73,3396,680.34,Medium,ASB-Dynamic-CapsNet,Static
01-01-2024 01:21,59.86,5232,3535,6.3,2913,651.63,High,Priority-Based,Dynamic
01-01-2024 01:22,36.47,2854,580,7.44,4660,68.31,Low,FCFS,Dynamic
01-01-2024 01:23,15.08,3838,4194,9.94,555,819.69,High,ASB-Dynamic-CapsNet,Static
01-01-2024 01:24,34.88,4018,3596,6.95,4300,570.39,Medium,FCFS,Dynamic
01-01-2024 01:25,36.01,3442,2893,2.7,2056,849.41,Low,Round Robin,Dynamic
01-01-2024 01:26,68.37,7295,2992,1.53,4256,974.82,Low,Round Robin,Static
01-01-2024 01:27,61,7484,1298,6.59,2905,957.53,Medium,ASB-Dynamic-CapsNet,Static
01-01-2024 01:28,80.98,5621,2472,5.47,4014,857.53,Low,ASB-Dynamic-CapsNet,Dynamic
01-01-2024 01:29,47.78,3067,1992,9.04,1724,20.84,Low,ASB-Dynamic-CapsNet,Dynamic
01-01-2024 01:30,19.57,2174,1983,7.4,1240,886.87,High,Priority-Based,Static
01-01-2024 01:31,67.06,3183,897,5.34,2442,84.31,Medium,Round Robin,Static
01-01-2024 01:32,70.86,3880,117,4.33,1971,852.68,Low,Priority-Based,Dynamic
01-01-2024 01:33,54.9,1239,143,4.34,4439,287.37,Medium,ASB-Dynamic-CapsNet,Static
01-01-2024 01:34,71.68,2045,254,2.65,2742,613.97,High,Round Robin,Dynamic
01-01-2024 01:35,49.5,5064,3548,0.66,4483,47.69,High,Priority-Based,Dynamic
01-01-2024 01:36,51.82,2759,4938,5.96,1877,773.47,High,Priority-Based,Static
01-01-2024 01:37,44.2,1635,4180,2.52,2549,120.59,Low,FCFS,Static
01-01-2024 01:38,12.03,5627,1525,2.48,766,416.58,High,Priority-Based,Static
01-01-2024 01:39,18.63,7447,4420,1.69,680,819.27,Medium,ASB-Dynamic-CapsNet,Static
01-01-2024 01:40,12.51,7120,4412,2.3,4910,698.4,High,ASB-Dynamic-CapsNet,Dynamic
01-01-2024 01:41,60.91,1373,3739,0.8,134,15.98,Low,Priority-Based,Static
01-01-2024 01:42,35.15,5055,4226,6.91,3818,409,High,FCFS,Dynamic
01-01-2024 01:43,50.69,2800,1992,4.31,786,51.51,Low,FCFS,Dynamic
01-01-2024 01:44,82.61,6145,997,5.83,2757,676.76,Medium,FCFS,Dynamic
01-01-2024 01:45,29.94,1251,3524,6.55,276,969.26,High,Priority-Based,Dynamic
