task_id,arrival_time,length,ram_req,bw_req,deadline
0,4,17651,512,823,75
1,16,11167,1024,645,78
2,34,11062,4096,792,50
3,64,28540,512,931,168
4,98,21174,512,1204,84
5,114,14729,1024,1448,108
6,116,19348,512,1084,118
7,119,15334,2048,898,61
8,127,18924,2048,1316,69
9,130,14330,4096,1867,92
10,143,16801,512,1463,175
11,146,14846,1024,1663,99
12,154,16731,2048,686,78
13,160,25368,1024,560,88
14,161,27337,1024,1438,87
15,189,12539,2048,1903,133
16,190,17056,1024,1209,177
17,197,21516,2048,1306,175
18,200,21493,1024,1963,94
19,202,11542,2048,1842,101
20,206,23964,512,1825,129
21,225,27575,4096,1867,173
22,241,16313,2048,510,168
23,253,29065,2048,1585,57
24,262,27924,4096,725,134
25,301,23807,2048,1676,178
26,335,19580,2048,1063,57
27,337,27749,1024,1271,145
28,379,18691,4096,1833,151
29,391,17494,512,1384,54
30,395,14312,2048,1766,135
31,412,11324,4096,1889,83
32,417,13141,1024,1853,104
33,466,29870,512,1630,168
34,474,11810,4096,725,163
35,488,16588,512,1324,194
36,492,29307,512,717,75
37,502,15301,512,1436,185
38,512,25485,2048,1252,96
39,524,21714,2048,1005,162
40,537,14748,1024,758,125
41,559,19435,1024,553,121
42,562,13709,4096,1570,138
43,563,23116,1024,1226,95
44,569,19576,512,1188,82
45,574,20150,512,1622,50
46,580,29456,2048,1543,196
47,595,16530,512,918,80
48,600,20188,4096,1189,191
49,606,24683,512,1349,102
50,608,10504,512,561,97
51,616,11214,4096,1668,118
52,623,11531,1024,715,154
53,635,10823,1024,502,139
54,646,27312,4096,659,112
55,659,15029,2048,1280,122
56,663,23428,512,1643,138
57,675,26517,4096,1392,62
58,698,12105,512,1612,122
59,698,13627,2048,828,126
60,699,22972,512,1079,117
61,709,11852,4096,1880,147
62,717,14910,512,1790,174
63,728,21003,1024,1451,151
64,728,23843,2048,1846,181
65,740,21704,2048,1134,151
66,753,25761,2048,1487,68
67,766,16190,4096,1718,131
68,769,27640,2048,1420,190
69,775,29760,1024,1237,72
70,775,15645,4096,1855,132
71,784,29870,1024,669,158
72,804,29968,512,1020,124
73,815,19588,512,1986,178
74,825,21829,512,539,137
75,830,18053,512,1784,103
76,851,13330,1024,1918,138
77,853,29087,4096,1454,192
78,854,18662,4096,1749,114
79,860,17114,2048,1483,125
80,863,23323,1024,1647,192
81,870,11353,512,1474,198
82,876,20975,1024,537,196
83,878,21023,2048,827,109
84,895,10667,2048,1774,142
85,954,19337,1024,1699,98
86,956,23659,1024,1413,84
87,959,13719,1024,953,151
88,971,29129,4096,536,60
89,975,17483,512,1839,148
90,980,10539,1024,1472,159
91,991,14964,1024,1295,123
92,995,14835,1024,1472,58
93,1012,16042,2048,1092,52
94,1015,24837,2048,1637,134
95,1016,17312,4096,1563,75
96,1016,15320,512,1824,121
97,1021,23216,4096,723,97
98,1028,12779,512,817,166
99,1045,27308,2048,848,61
100,1059,11581,2048,614,182
101,1060,29708,2048,1197,97
102,1066,22677,4096,1846,86
103,1069,15713,1024,1563,93
104,1076,26639,1024,539,64
105,1081,14804,2048,1812,92
106,1082,28222,1024,1785,136
107,1122,20136,1024,715,119
108,1139,10009,4096,1670,95
109,1147,29255,512,835,157
110,1148,15124,2048,1691,172
111,1150,11015,2048,591,70
112,1154,12193,4096,852,156
113,1166,18415,4096,1070,129
114,1184,23550,1024,1315,96
115,1184,24512,2048,1280,166
116,1218,14158,512,862,173
117,1243,16970,4096,1056,192
118,1243,16938,512,1868,74
119,1267,23772,512,1693,85
120,1275,28017,2048,855,100
121,1282,20344,2048,690,64
122,1291,17266,4096,921,117
123,1300,18702,2048,1199,70
124,1306,10384,2048,506,190
125,1348,10404,2048,632,68
126,1363,18175,512,1056,83
127,1363,25158,4096,1325,127
128,1365,22763,1024,1260,174
129,1369,28384,512,1554,166
130,1369,19860,2048,1034,101
131,1409,15989,512,925,76
132,1445,25106,2048,1917,84
133,1470,27844,2048,1171,185
134,1478,13636,512,862,193
135,1484,20916,4096,1960,155
136,1495,14809,2048,581,195
137,1495,23456,4096,855,51
138,1500,25444,1024,1781,126
139,1516,15997,2048,1088,181
140,1527,12048,4096,794,139
141,1528,22338,4096,1747,138
142,1529,27100,1024,1569,143
143,1568,14544,4096,1636,56
144,1570,14976,4096,1756,144
145,1571,22775,1024,516,157
146,1585,20015,2048,859,123
147,1597,13419,4096,1746,88
148,1625,24430,4096,1365,190
149,1631,17239,4096,1199,120
150,1635,24489,512,947,105
151,1636,26633,1024,1355,91
152,1648,20357,512,864,85
153,1663,27154,1024,1174,133
154,1664,14363,2048,1507,167
155,1678,20176,2048,1849,56
156,1679,27461,4096,966,103
157,1682,18427,1024,913,178
158,1682,18580,2048,1978,169
159,1685,14858,1024,1085,155
160,1686,20040,2048,1756,96
161,1687,29198,512,1747,172
162,1687,29758,2048,1493,190
163,1693,25254,512,1935,168
164,1693,21470,2048,1071,199
165,1696,11252,4096,834,167
166,1707,16996,512,1745,70
167,1715,22173,2048,536,186
168,1722,14673,4096,1488,75
169,1733,25781,512,777,58
170,1734,23051,4096,1719,64
171,1757,16881,1024,1415,59
172,1757,16949,1024,983,171
173,1794,19521,512,1765,170
174,1802,18017,2048,1847,174
175,1806,16941,512,1230,121
176,1816,20209,4096,691,98
177,1819,27715,2048,1540,140
178,1841,19550,1024,1023,86
179,1843,14637,2048,1417,117
180,1853,14854,1024,900,99
181,1895,29561,2048,1385,68
182,1899,20320,2048,1204,149
183,1930,28564,2048,521,109
184,1931,14892,4096,973,138
185,1931,17043,4096,1643,195
186,1955,26521,512,709,196
187,1959,29856,512,805,118
188,1981,29216,1024,1793,98
189,1981,29963,4096,1203,157
190,1982,14164,1024,1186,168
191,1986,17941,512,784,198
192,1998,24388,1024,1215,199
193,2027,15569,512,1262,86
194,2038,14300,4096,1750,192
195,2041,16269,2048,1447,60
196,2047,13818,4096,880,187
197,2049,22015,1024,959,127
198,2056,22234,1024,1530,126
199,2061,28290,4096,528,51
200,2062,16254,4096,1406,113
201,2065,27144,512,1556,84
202,2070,17350,1024,1378,56
203,2082,25183,1024,578,134
204,2141,16238,4096,1446,195
205,2143,16090,2048,958,116
206,2160,21637,1024,1069,91
207,2200,22647,2048,1953,167
208,2205,19911,4096,1237,174
209,2237,18472,4096,1808,73
210,2255,28271,512,1015,95
211,2265,13266,1024,1622,68
212,2278,10666,2048,896,117
213,2294,14188,512,538,151
214,2300,27055,1024,1794,91
215,2326,20161,512,1386,81
216,2327,21314,4096,1296,158
217,2327,22891,1024,656,85
218,2363,14777,512,1598,146
