arrival_time,length,ram_req,bw_req,task_id
422,990,4096,1441,1
985,2490,256,1053,2
747,2094,1024,1256,3
475,3215,512,1326,4
617,2402,512,1657,5
929,1873,512,636,6
818,1625,4096,1458,7
972,3957,256,1079,8
503,1296,4096,1584,9
253,1503,1024,173,10
878,3902,512,104,11
756,1746,256,882,12
862,552,1024,1855,13
649,3843,512,367,14
580,4613,1024,676,15
281,1401,1024,1297,16
875,3181,2048,1460,17
732,1795,256,1042,18
136,622,256,594,19
473,2803,512,592,20
159,4741,512,263,21
321,2980,512,1844,22
49,881,256,1003,23
884,1657,4096,1712,24
389,902,256,1578,25
604,1697,512,1580,26
617,897,1024,1700,27
295,3777,1024,243,28
878,3950,512,124,29
756,3972,4096,239,30
135,1065,256,1397,31
401,848,1024,650,32
804,4997,4096,1669,33
725,736,4096,1344,34
383,1408,512,1690,35
226,2978,4096,1781,36
279,1368,2048,1070,37
715,1420,2048,1787,38
723,2546,2048,1109,39
651,548,4096,972,40
528,1626,256,935,41
893,2778,512,1382,42
469,2903,1024,531,43
413,523,2048,1114,44
84,803,1024,1113,45
222,3846,1024,431,46
581,4079,256,1845,47
967,1679,2048,1480,48
882,4746,4096,1710,49
902,4474,2048,731,50
197,3917,256,744,51
607,2774,2048,834,52
563,3074,512,1150,53
379,3232,4096,1859,54
629,1563,1024,1414,55
62,2499,4096,207,56
998,4115,4096,1805,57
243,4871,256,399,58
177,2702,2048,928,59
154,4014,4096,1199,60
385,4519,1024,246,61
217,888,512,1978,62
644,2145,256,901,63
902,2887,2048,1717,64
643,1408,4096,1059,65
85,1402,256,1689,66
427,2430,4096,777,67
112,3663,4096,1555,68
404,2575,512,1520,69
542,3601,2048,1283,70
912,1007,4096,1601,71
272,4568,1024,1942,72
262,4809,256,171,73
706,2986,1024,960,74
964,1392,512,1282,75
301,2113,256,89,76
926,2453,4096,502,77
267,2536,256,608,78
497,1688,512,1169,79
614,582,2048,1356,80
375,4103,2048,424,81
796,2731,2048,610,82
250,4247,2048,826,83
236,1853,256,1510,84
414,2615,512,1950,85
627,1969,1024,1280,86
582,4438,256,465,87
440,4758,512,1505,88
753,4102,4096,1678,89
923,985,256,438,90
777,4294,512,1057,91
712,2014,1024,410,92
442,650,1024,1590,93
973,4696,256,1250,94
14,2413,2048,1204,95
244,4314,512,1828,96
717,680,1024,644,97
142,616,256,745,98
148,4777,4096,1814,99
292,1480,2048,990,100
339,1230,256,921,101
417,1884,1024,1846,102
5,4574,4096,954,103
866,1612,256,1656,104
741,4487,2048,1134,105
372,2953,512,216,106
720,4290,512,339,107
424,2369,4096,1686,108
766,3736,2048,407,109
711,4030,256,1156,110
345,1974,1024,682,111
749,3315,512,1001,112
866,4869,256,1139,113
94,1151,4096,306,114
960,3874,4096,902,115
479,3273,256,1652,116
981,3129,512,1914,117
682,824,4096,145,118
957,3788,4096,411,119
627,3512,512,792,120
8,986,256,382,121
272,3706,4096,910,122
510,2212,2048,1514,123
457,1783,256,659,124
774,2357,2048,1011,125
696,3111,256,871,126
325,835,256,831,127
335,3971,2048,1957,128
836,3902,4096,1215,129
508,2423,256,804,130
840,4427,4096,348,131
104,2853,4096,1387,132
562,1671,4096,1433,133
154,982,1024,1045,134
555,2095,4096,1888,135
333,3757,4096,1362,136
369,2330,4096,648,137
736,603,512,1951,138
918,1448,1024,1609,139
360,2821,256,78,140
31,3711,2048,1338,141
843,4109,4096,1763,142
742,4981,1024,623,143
